date,number
1,1
2,0
3,0
4,2
5,0
6,1
7,1
8,3
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,5
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,2
27,0
28,2
29,0
30,2
31,0
32,2
33,0
34,2
35,2
36,1
37,1
38,0
39,2
40,5
41,1
42,1
43,1
44,0
45,2
46,1
47,0
48,0
49,0
50,2
51,1
52,1
53,1
54,3
55,6
56,8
57,10
58,23
59,8
60,27
61,18
62,16
63,26
64,21
65,20
66,16
67,15
68,16
69,15
70,8
71,16
72,7
73,10
74,9
75,7
76,8
77,10
78,3
79,3
80,1
81,2
82,3
83,3
84,5
85,0
86,2
87,0
88,0
89,3
90,22
91,2
92,3
