date,number
1,1
2,1
3,1
4,3
5,3
6,4
7,5
8,8
9,8
10,9
11,10
12,10
13,10
14,10
15,11
16,11
17,16
18,16
19,17
20,18
21,18
22,18
23,18
24,18
25,18
26,20
27,20
28,22
29,22
30,24
31,24
32,26
33,26
34,28
35,30
36,31
37,32
38,32
39,34
40,39
41,40
42,41
43,42
44,42
45,44
46,45
47,45
48,45
49,45
50,47
51,48
52,49
53,50
54,53
55,59
56,67
57,77
58,100
59,108
60,135
61,153
62,169
63,195
64,216
65,236
66,252
67,267
68,283
69,298
70,306
71,322
72,329
73,339
74,348
75,355
76,363
77,373
78,376
79,379
80,380
81,382
82,385
83,388
84,393
85,393
86,395
87,395
88,395
89,398
90,420
91,422
92,425
93,426
94,427
95,428
96,429
97,429
98,429
99,429
100,429
101,429
102,429
103,432
104,435
105,437
106,437
107,438
108,439
109,439
110,439
111,439
112,439
113,439
114,439
115,439
116,439
117,439
118,439
119,439
120,439
121,439
122,440
123,440
124,440
125,440
126,440
127,440
128,440
129,440
130,441
131,441
132,441
133,442
134,442
135,442
136,442
137,442
138,442
139,442
140,442
141,442
142,442
143,442
144,442
145,442
146,442
147,444
148,444
149,444
150,445
