"date","number"
1,1
2,1
3,1
4,3
5,3
6,4
7,5
8,8
9,8
10,9
11,10
12,10
13,10
14,10
15,11
16,11
17,16
18,16
19,17
20,18
21,18
22,18
23,18
24,18
25,18
26,20
27,20
28,22
29,22
30,24
31,24
32,26
33,26
34,28
35,30
36,31
37,32
38,32
39,34
40,39
41,40
42,41
43,42
44,42
45,44
46,45
47,45
48,45
49,45
50,47
51,48
52,49
53,50
54,53
55,59
56,67
57,77
58,100
59,108
60,135
61,153
62,169
63,195
64,216
65,236
66,252
67,267
68,283
69,298
70,306
71,322
72,329
73,339
74,348
75,355
76,363
77,373
78,376
79,379
80,380
81,382
82,385
83,388
84,393
85,393
86,395
87,395
88,395
89,398
90,420
91,422
92,425
